,name,id,start,end,lat,lng
0,1 Ave & E 110 St,0,2323,2393,40.7923272,-73.9383
1,1 Ave & E 16 St,1,9659,9612,40.73221853,-73.98165557
2,1 Ave & E 18 St,2,8154,8029,40.73381219196632,-73.98054420948029
3,1 Ave & E 30 St,3,4577,4588,40.74144387,-73.97536082
4,1 Ave & E 39 St,4,7275,7327,40.74714,-73.97113
5,1 Ave & E 44 St,5,1660,1590,40.75001986,-73.96905301
6,1 Ave & E 6 St,6,8091,8091,40.72633085971696,-73.98616880178452
7,1 Ave & E 62 St,7,6504,6499,40.7612274,-73.96094022
8,1 Ave & E 68 St,8,10893,10903,40.76500525,-73.95818491
9,1 Ave & E 78 St,9,7521,7520,40.77140426,-73.9535166
10,1 Ave & E 94 St,10,2535,2522,40.7817212,-73.94594
11,1 Pl & Clinton St,11,510,516,40.6809591,-73.99905709
12,1 St & 6 Ave,12,1212,1226,40.672784,-73.979826
13,10 Ave & W 14 St,13,9804,9967,40.74198159994023,-74.00831580162048
14,10 Ave & W 202 St,14,210,212,40.861281970750994,-73.921417593956
15,10 Ave & W 204 St,15,86,96,40.862638,-73.92006
16,10 Ave & W 207 St,16,320,353,40.864632,-73.918598
17,10 Ave & W 215 St,17,127,133,40.86932465640094,-73.91519755125046
18,10 Ave & W 28 St,18,8774,8677,40.75066386,-74.00176802
19,10 St & 2 Ave,19,674,810,40.671907,-73.993612
20,10 St & 5 Ave,20,1395,1413,40.6686273,-73.98700053
21,10 St & 7 Ave,21,2353,2355,40.6662078,-73.98199886
22,11 Ave & Prospect Ave,22,659,656,40.65629,-73.977335
23,11 Ave & W 27 St,23,7453,7467,40.751396,-74.005226
24,11 Ave & W 41 St,24,9838,9898,40.76030096,-73.99884222
25,11 Ave & W 59 St,25,5463,5458,40.77149671054441,-73.99046033620834
26,11 St & 43 Ave,26,559,579,40.7519071,-73.9479119
27,11 St & Washington St,27,0,1,40.74998490907138,-74.02715027332306
28,12 Ave & 36 St,28,279,332,40.643546,-73.986418
29,12 Ave & W 125 St,29,3051,3057,40.818299,-73.960405
30,12 Ave & W 40 St,30,11028,10975,40.76087502,-74.00277668
31,12 St & 4 Ave,31,1169,1201,40.668603,-73.9904394
32,12 St & Sinatra Dr N,32,0,1,40.75060414236896,-74.02402013540268
33,14 St & 5 Ave,33,1519,1520,40.666287,-73.98895053
34,14 St & 7 Ave,34,715,707,40.663779,-73.98396846
